,word,origin,full_name,Group
0,abs brake,deu,German,Germanic
1,aivd,nld,Dutch;Flemish,Germanic
3,aachen,deu,German,Germanic
4,aarhus,dan,Danish,Germanic
7,aashaadha,san,Sanskrit,Other
8,ab,egy,Egyptian (Ancient),Other
9,ababil,ara,Arabic,Arabic
10,abbas,ara,Arabic,Arabic
11,abbethdin,heb,Hebrew,Germanic
12,abdera,grc,"Greek, Ancient (to 1453)",
13,abderite,lat,Latin,Latin
14,abdullah,ara,Arabic,Arabic
17,abenaki,fra,French,Latin
18,abgarus,lat,Latin,Latin
19,abhimanyu,san,Sanskrit,Other
20,abib,heb,Hebrew,Germanic
21,abigail,heb,Hebrew,Germanic
22,abimelech,heb,Hebrew,Germanic
24,abkhaz,rus,Russian,Other
26,abovian,hye,Armenian,Other
27,abovyan,hye,Armenian,Other
28,abraham,lat,Latin,Latin
29,abrahamian,hye,Armenian,Other
30,abrahamic,lat,Latin,Latin
31,abrahamical,lat,Latin,Latin
32,abrahamism,lat,Latin,Latin
33,abrahamyan,hye,Armenian,Other
34,abram,heb,Hebrew,Germanic
35,abruzzo,ita,Italian,Latin
36,abstinent,enm,"English, Middle (1100-1500)",
37,abu dhabi,ara,Arabic,Arabic
40,acadia,ita,Italian,Latin
41,acalepha,lat,Latin,Latin
42,achaemenes,grc,"Greek, Ancient (to 1453)",
43,achaemenian,grc,"Greek, Ancient (to 1453)",
44,achaemenid,grc,"Greek, Ancient (to 1453)",
45,acharya,san,Sanskrit,Other
46,achelous,lat,Latin,Latin
47,acheron,lat,Latin,Latin
48,acheronian,lat,Latin,Latin
49,acheulean,fra,French,Latin
50,achilles,lat,Latin,Latin
51,acmeism,rus,Russian,Other
52,acroceraunian,lat,Latin,Latin
53,acropolis,grc,"Greek, Ancient (to 1453)",
54,adad,akk,Akkadian,Other
55,adah,heb,Hebrew,Germanic
56,adam,lat,Latin,Latin
57,adamesque,lat,Latin,Latin
58,adamite,lat,Latin,Latin
59,adamos,ell,Modern Greek,Other
60,adamson,lat,Latin,Latin
61,adar,heb,Hebrew,Germanic
63,adeline,fro,"French, Old (842-ca.1400)",
64,aditi,san,Sanskrit,Other
65,aditya,san,Sanskrit,Other
67,adonai,heb,Hebrew,Germanic
68,adonic,grc,"Greek, Ancient (to 1453)",
69,adonis,grc,"Greek, Ancient (to 1453)",
71,adrian,lat,Latin,Latin
72,adriatic sea,grc,"Greek, Ancient (to 1453)",
73,aegenbald,ang,"English, Old (ca.450-1100)",
74,aegenwulf,ang,"English, Old (ca.450-1100)",
75,aegeus,grc,"Greek, Ancient (to 1453)",
76,aegina,grc,"Greek, Ancient (to 1453)",
77,aeneas,lat,Latin,Latin
78,aeneid,lat,Latin,Latin
79,aeolia,grc,"Greek, Ancient (to 1453)",
80,aeolic,lat,Latin,Latin
81,aeolis,grc,"Greek, Ancient (to 1453)",
82,aeschylus,grc,"Greek, Ancient (to 1453)",
83,aesop,grc,"Greek, Ancient (to 1453)",
84,aesopian,lat,Latin,Latin
85,aether,grc,"Greek, Ancient (to 1453)",
86,afeefa,ara,Arabic,Arabic
87,affenpinscher,deu,German,Germanic
89,africa,lat,Latin,Latin
90,africana,lat,Latin,Latin
95,afrihili,lat,Latin,Latin
98,afrofuturism,lat,Latin,Latin
99,afrosphere,fro,"French, Old (842-ca.1400)",
100,afyonkarahisar,tur,Turkish,Turkish
101,agamemnon,grc,"Greek, Ancient (to 1453)",
102,agastya,san,Sanskrit,Other
103,agatha,grc,"Greek, Ancient (to 1453)",
104,agdistis,grc,"Greek, Ancient (to 1453)",
105,agesilaus,grc,"Greek, Ancient (to 1453)",
106,aghayan,hye,Armenian,Other
107,aglaia,grc,"Greek, Ancient (to 1453)",
108,agni,san,Sanskrit,Other
109,agnus dei,lat,Latin,Latin
110,agrippa,lat,Latin,Latin
112,ahasuerus,heb,Hebrew,Germanic
113,ahaz,heb,Hebrew,Germanic
114,ahmad,ara,Arabic,Arabic
115,ahmed,ara,Arabic,Arabic
116,ahmedabad,guj,Gujarati,Other
117,ahriman,fas,Persian,Other
118,ahrimanic,fas,Persian,Other
119,ahuna vairya,ave,Avestan,Other
120,ahura mazda,ave,Avestan,Other
121,aida,ita,Italian,Latin
122,aidenn,heb,Hebrew,Germanic
123,ajax,lat,Latin,Latin
124,ajaxify,lat,Latin,Latin
125,akkad,akk,Akkadian,Other
126,akron,grc,"Greek, Ancient (to 1453)",
127,akutagawa,jpn,Japanese,Japanese
128,al jazeera,ara,Arabic,Arabic
129,alabama,akz,,
130,alabaman,akz,,
131,alabamian,akz,,
132,aladdin,ara,Arabic,Arabic
133,alamo,spa,Spanish; Castilian,Latin
134,alaska,ale,Aleut,Other
135,alaskan,ale,Aleut,Other
136,alban,lat,Latin,Latin
137,albania,grc,"Greek, Ancient (to 1453)",
139,albina,lat,Latin,Latin
140,albuquerque,spa,Spanish; Castilian,Latin
141,alcaeus,grc,"Greek, Ancient (to 1453)",
142,alcman,grc,"Greek, Ancient (to 1453)",
145,alcyone,lat,Latin,Latin
146,aldebaran,ara,Arabic,Arabic
147,alderamin,ara,Arabic,Arabic
148,alejandro,spa,Spanish; Castilian,Latin
149,aleksanian,hye,Armenian,Other
150,aleksanyan,hye,Armenian,Other
151,alexander,lat,Latin,Latin
152,alexandra,grc,"Greek, Ancient (to 1453)",
153,alexandroupoli,ell,Modern Greek,Other
154,alexis,fra,French,Latin
155,alfred,ang,"English, Old (ca.450-1100)",
156,algarve,por,Portuguese,Latin
157,algeria,ara,Arabic,Arabic
158,algerine,ara,Arabic,Arabic
160,algiedi,ara,Arabic,Arabic
161,algiers,ara,Arabic,Arabic
162,algol,ara,Arabic,Arabic
163,alicante,spa,Spanish; Castilian,Latin
164,alison,fro,"French, Old (842-ca.1400)",
165,allah,ara,Arabic,Arabic
166,allahabad,urd,Urdu,Other
167,allahu akbar,ara,Arabic,Arabic
168,allegra,ita,Italian,Latin
169,almain,xno,Anglo-Norman,Germanic
170,almería,spa,Spanish; Castilian,Latin
171,alnilam,ara,Arabic,Arabic
172,alor setar,msa,Malay,Other
173,alpestrine,lat,Latin,Latin
174,alpheratz,ara,Arabic,Arabic
175,alpine,lat,Latin,Latin
176,alshain,ara,Arabic,Arabic
177,althing,isl,,
179,alutiiq,rus,Russian,Other
180,alwin,ang,"English, Old (ca.450-1100)",
181,amanda,lat,Latin,Latin
182,amaravati,san,Sanskrit,Other
183,amarillo,spa,Spanish; Castilian,Latin
184,amata,lat,Latin,Latin
185,amaterasu,jpn,Japanese,Japanese
186,amavasya,san,Sanskrit,Other
188,amazonomachy,grc,"Greek, Ancient (to 1453)",
190,amdang,amj,,
192,ameretat,ave,Avestan,Other
213,amesha spenta,ave,Avestan,Other
214,amiens,fro,"French, Old (842-ca.1400)",
215,amir,ara,Arabic,Arabic
216,amis,fro,"French, Old (842-ca.1400)",
218,amphictyon,lat,Latin,Latin
219,amphitrite,grc,"Greek, Ancient (to 1453)",
221,amrita,san,Sanskrit,Other
222,amyas,fro,"French, Old (842-ca.1400)",
223,anabaptism,lat,Latin,Latin
225,anacreon,grc,"Greek, Ancient (to 1453)",
226,anahit,hye,Armenian,Other
227,anahita,peo,"Persian, Old (ca.600-400 B.C.)",
228,anand,san,Sanskrit,Other
229,ananias,grc,"Greek, Ancient (to 1453)",
230,anasazi,nav,Navajo; Navaho,Other
231,anastasius,lat,Latin,Latin
232,anatole,fra,French,Latin
233,anatolia,grc,"Greek, Ancient (to 1453)",
234,anatolian,grc,"Greek, Ancient (to 1453)",
235,anatolius,lat,Latin,Latin
236,anaxagoras,grc,"Greek, Ancient (to 1453)",
237,anaxarchus,grc,"Greek, Ancient (to 1453)",
238,anaximander,grc,"Greek, Ancient (to 1453)",
239,anaximenes,grc,"Greek, Ancient (to 1453)",
240,anchises,grc,"Greek, Ancient (to 1453)",
241,ancien régime,fra,French,Latin
243,andrea,ita,Italian,Latin
244,andreas,grc,"Greek, Ancient (to 1453)",
245,andrew,grc,"Greek, Ancient (to 1453)",
246,andromache,grc,"Greek, Ancient (to 1453)",
247,angada,san,Sanskrit,Other
248,angelo,ita,Italian,Latin
249,angelopoulos,ell,Modern Greek,Other
250,angelverse,enm,"English, Middle (1100-1500)",
251,angheluta,ron,,
253,anglican,lat,Latin,Latin
254,anglicanism,lat,Latin,Latin
257,anglophile,lat,Latin,Latin
258,anglophilia,grc,"Greek, Ancient (to 1453)",
261,anglophone,grc,"Greek, Ancient (to 1453)",
262,anglosphere,fro,"French, Old (842-ca.1400)",
263,angra mainyu,ave,Avestan,Other
264,angrez,hin,Hindi,Other
266,anita,spa,Spanish; Castilian,Latin
267,ankara,lat,Latin,Latin
268,annabeth,hin,Hindi,Other
271,annette,fra,French,Latin
272,anschluss,deu,German,Germanic
275,antarctica,lat,Latin,Latin
276,anthea,grc,"Greek, Ancient (to 1453)",
277,anthony,lat,Latin,Latin
278,anthropos,grc,"Greek, Ancient (to 1453)",
279,antichrist,ang,"English, Old (ca.450-1100)",
281,antichristic,ang,"English, Old (ca.450-1100)",
282,antigua,spa,Spanish; Castilian,Latin
283,antioch,grc,"Greek, Ancient (to 1453)",
284,antiochene,lat,Latin,Latin
285,antiochian,grc,"Greek, Ancient (to 1453)",
286,antiochus,lat,Latin,Latin
287,antonia,lat,Latin,Latin
288,antonina,lat,Latin,Latin
289,anubis,lat,Latin,Latin
290,anurag,san,Sanskrit,Other
291,anwar,ara,Arabic,Arabic
292,aoki,jpn,Japanese,Japanese
293,aosta,ita,Italian,Latin
294,aostan,ita,Italian,Latin
295,aotearoa,mri,,
296,aotearoan,mri,,
297,apeliotes,grc,"Greek, Ancient (to 1453)",
298,aphrodite,grc,"Greek, Ancient (to 1453)",
299,apocalypse,lat,Latin,Latin
300,apollo,grc,"Greek, Ancient (to 1453)",
301,apollonia,lat,Latin,Latin
302,apollyon,grc,"Greek, Ancient (to 1453)",
303,apollyonic,grc,"Greek, Ancient (to 1453)",
304,apovian,hye,Armenian,Other
305,apovyan,hye,Armenian,Other
307,appletard,enm,"English, Middle (1100-1500)",
308,appleyard,enm,"English, Middle (1100-1500)",
309,april,enm,"English, Middle (1100-1500)",
310,aprilly,enm,"English, Middle (1100-1500)",
311,aquarian,lat,Latin,Latin
312,aquarius,lat,Latin,Latin
315,ara,lat,Latin,Latin
316,arabia,lat,Latin,Latin
318,arabic,lat,Latin,Latin
324,arachne,lat,Latin,Latin
325,arachosia,ell,Modern Greek,Other
327,aragvi,kat,,
328,araki,fas,Persian,Other
329,aral sea,kaz,Kazakh,Other
330,aras,tur,Turkish,Turkish
331,arau,msa,Malay,Other
332,araucania,spa,Spanish; Castilian,Latin
333,araucanization,spa,Spanish; Castilian,Latin
334,araxes,grc,"Greek, Ancient (to 1453)",
336,arcadia,grc,"Greek, Ancient (to 1453)",
337,arcadian,lat,Latin,Latin
340,archilochian,lat,Latin,Latin
341,archilochus,grc,"Greek, Ancient (to 1453)",
342,archimedean,grc,"Greek, Ancient (to 1453)",
343,archimedes,grc,"Greek, Ancient (to 1453)",
345,arctic,fra,French,Latin
348,areopagitic,lat,Latin,Latin
349,areopagus,grc,"Greek, Ancient (to 1453)",
350,arezzo,ita,Italian,Latin
351,argive,lat,Latin,Latin
352,argo,lat,Latin,Latin
353,argoan,lat,Latin,Latin
354,argolic,lat,Latin,Latin
355,argonautic,lat,Latin,Latin
356,argos,grc,"Greek, Ancient (to 1453)",
357,argus,grc,"Greek, Ancient (to 1453)",
358,ariadne,grc,"Greek, Ancient (to 1453)",
359,ariane,fra,French,Latin
360,arianna,ita,Italian,Latin
361,arie,heb,Hebrew,Germanic
362,aries,lat,Latin,Latin
363,arietian,lat,Latin,Latin
364,arinj,hye,Armenian,Other
365,aristarchus,grc,"Greek, Ancient (to 1453)",
366,aristophanean,grc,"Greek, Ancient (to 1453)",
367,aristophanes,grc,"Greek, Ancient (to 1453)",
368,aristophanic,grc,"Greek, Ancient (to 1453)",
369,aristotelean,lat,Latin,Latin
370,aristotle,grc,"Greek, Ancient (to 1453)",
372,arkite,ang,"English, Old (ca.450-1100)",
373,armageddon,heb,Hebrew,Germanic
374,armenia,grc,"Greek, Ancient (to 1453)",
375,armenian,grc,"Greek, Ancient (to 1453)",
376,armenianness,grc,"Greek, Ancient (to 1453)",
380,armenophile,lat,Latin,Latin
381,armenophilia,grc,"Greek, Ancient (to 1453)",
384,armill,lat,Latin,Latin
385,arminius,lat,Latin,Latin
386,armoric,lat,Latin,Latin
387,armorica,lat,Latin,Latin
388,arnaut,tur,Turkish,Turkish
390,arretine,lat,Latin,Latin
391,arsis,grc,"Greek, Ancient (to 1453)",
392,artaxerxes,lat,Latin,Latin
393,artemis,grc,"Greek, Ancient (to 1453)",
394,artemisium,grc,"Greek, Ancient (to 1453)",
395,artotyrite,lat,Latin,Latin
397,arundhati,san,Sanskrit,Other
398,arunim,san,Sanskrit,Other
399,aryan,san,Sanskrit,Other
400,aryanize,san,Sanskrit,Other
401,asa,heb,Hebrew,Germanic
402,asclepius,lat,Latin,Latin
403,asha,san,Sanskrit,Other
404,ashkenazim,heb,Hebrew,Germanic
406,ashtami,san,Sanskrit,Other
407,ashtarak,hye,Armenian,Other
408,ashura,ara,Arabic,Arabic
409,ashvamedha,san,Sanskrit,Other
410,asia,grc,"Greek, Ancient (to 1453)",
412,asiaphile,grc,"Greek, Ancient (to 1453)",
413,asiarch,lat,Latin,Latin
416,aslan,tur,Turkish,Turkish
417,asman,peo,"Persian, Old (ca.600-400 B.C.)",
419,assur,akk,Akkadian,Other
420,assyria,lat,Latin,Latin
422,astarte,grc,"Greek, Ancient (to 1453)",
423,asterix,fra,French,Latin
424,astghik,xcl,,
425,astraeus,grc,"Greek, Ancient (to 1453)",
426,astrid,non,"Norse, Old",
428,asura,san,Sanskrit,Other
430,atalanta,grc,"Greek, Ancient (to 1453)",
431,atellan,lat,Latin,Latin
433,atharvaveda,san,Sanskrit,Other
434,athena,lat,Latin,Latin
435,athos,grc,"Greek, Ancient (to 1453)",
438,atlantean,grc,"Greek, Ancient (to 1453)",
440,atlantic,lat,Latin,Latin
441,atlantis,grc,"Greek, Ancient (to 1453)",
442,atlas,grc,"Greek, Ancient (to 1453)",
443,atropatene,grc,"Greek, Ancient (to 1453)",
444,atropos,grc,"Greek, Ancient (to 1453)",
445,attic,grc,"Greek, Ancient (to 1453)",
446,attica,grc,"Greek, Ancient (to 1453)",
447,atticism,grc,"Greek, Ancient (to 1453)",
448,atticize,grc,"Greek, Ancient (to 1453)",
452,audrey,ang,"English, Old (ca.450-1100)",
453,augie,lat,Latin,Latin
454,august,lat,Latin,Latin
455,augustine,lat,Latin,Latin
457,augustinism,lat,Latin,Latin
458,augustus,lat,Latin,Latin
459,aukštaitian,lit,Lithuanian,Other
460,aukštaitija,lit,Lithuanian,Other
461,aurelia,lat,Latin,Latin
462,aurelian,lat,Latin,Latin
463,auriga,lat,Latin,Latin
465,auschwitz,deu,German,Germanic
468,auster,lat,Latin,Latin
475,av,heb,Hebrew,Germanic
476,avellino,lat,Latin,Latin
477,avernus,lat,Latin,Latin
480,axel,dan,Danish,Germanic
481,ayre,non,"Norse, Old",
482,ayurveda,hin,Hindi,Other
483,azar,fas,Persian,Other
485,aziz,ara,Arabic,Arabic
487,azores,por,Portuguese,Latin
488,aztec,spa,Spanish; Castilian,Latin
494,baba yaga,p_sla,,
495,babel,lat,Latin,Latin
496,babelish,lat,Latin,Latin
497,babouvist,fra,French,Latin
498,babylon,lat,Latin,Latin
499,babylonia,lat,Latin,Latin
500,bacchanalia,lat,Latin,Latin
501,bacchylides,grc,"Greek, Ancient (to 1453)",
502,bach,deu,German,Germanic
503,baci,ita,Italian,Latin
504,baconian,enm,"English, Middle (1100-1500)",
505,baconianism,enm,"English, Middle (1100-1500)",
506,bactria,grc,"Greek, Ancient (to 1453)",
507,badajoz,spa,Spanish; Castilian,Latin
508,baha,ara,Arabic,Arabic
510,baikal,rus,Russian,Other
513,baklahorani,ell,Modern Greek,Other
514,baku,rus,Russian,Other
518,balkan,tur,Turkish,Turkish
520,balthazar,lat,Latin,Latin
521,bandar seri begawan,msa,Malay,Other
522,bangalore,kan,Kannada,Other
527,bantu,xho,Xhosa,Other
529,barak,ara,Arabic,Arabic
530,barbados,por,Portuguese,Latin
531,barbarossa,ita,Italian,Latin
532,barbuda,spa,Spanish; Castilian,Latin
533,barnabas,grc,"Greek, Ancient (to 1453)",
534,barnabite,grc,"Greek, Ancient (to 1453)",
537,bartholomew,grc,"Greek, Ancient (to 1453)",
538,baruch,heb,Hebrew,Germanic
540,basheer,ara,Arabic,Arabic
541,bashir,ara,Arabic,Arabic
542,bashkir,rus,Russian,Other
543,bashkiria,rus,Russian,Other
544,bashkirian,rus,Russian,Other
545,bashkortostan,bak,Bashkir,Other
546,basque,fra,French,Latin
547,basquish,lat,Latin,Latin
548,bastet,egy,Egyptian (Ancient),Other
550,batavia,lat,Latin,Latin
554,bauer,deu,German,Germanic
555,baumkuchen,deu,German,Germanic
556,baumé,fra,French,Latin
563,beatrice,lat,Latin,Latin
566,bedwardite,enm,"English, Middle (1100-1500)",
567,beelzebub,lat,Latin,Latin
568,beelzebubian,lat,Latin,Latin
570,beervana,enm,"English, Middle (1100-1500)",
573,beirut,ara,Arabic,Arabic
575,belgic,lat,Latin,Latin
576,belgium,lat,Latin,Latin
577,belgorod,rus,Russian,Other
579,bellhead,ang,"English, Old (ca.450-1100)",
580,benevento,ita,Italian,Latin
581,bengali,hin,Hindi,Other
582,benin,por,Portuguese,Latin
583,beninese,por,Portuguese,Latin
585,bennifer,enm,"English, Middle (1100-1500)",
591,beowulf,ang,"English, Old (ca.450-1100)",
592,beowulfian,ang,"English, Old (ca.450-1100)",
593,bergamasco,ita,Italian,Latin
594,bergamo,ita,Italian,Latin
596,berliner,deu,German,Germanic
599,bernadette,fra,French,Latin
603,besançon,fra,French,Latin
604,bessarabia,ron,,
605,betawi,ind,Indonesian,Other
609,beurré,fra,French,Latin
611,bhadrapada,san,Sanskrit,Other
612,bhaga,san,Sanskrit,Other
613,bhagavad gita,san,Sanskrit,Other
614,bharat,san,Sanskrit,Other
615,bhat,san,Sanskrit,Other
616,bhatt,san,Sanskrit,Other
617,bhatta,san,Sanskrit,Other
618,bhubaneswar,ori,Oriya,Other
619,bhumi,san,Sanskrit,Other
622,bias,frm,"French, Middle (ca.1400-1600)",
623,bichon frisé,fra,French,Latin
625,biella,ita,Italian,Latin
627,bihar,hin,Hindi,Other
628,bihari,hin,Hindi,Other
629,bikini,fra,French,Latin
630,billary,ang,"English, Old (ca.450-1100)",
633,biosteel,enm,"English, Middle (1100-1500)",
634,birman,fra,French,Latin
636,biscay,eus,,
637,biscayan,eus,,
640,bithynia,lat,Latin,Latin
641,bitola,mkd,,
642,black,enm,"English, Middle (1100-1500)",
643,blackian,enm,"English, Middle (1100-1500)",
645,blagoveshchensk,rus,Russian,Other
648,blakean,enm,"English, Middle (1100-1500)",
654,blin,enm,"English, Middle (1100-1500)",
655,blissymbols,ang,"English, Old (ca.450-1100)",
656,bloc québécois,fra,French,Latin
661,bloomian,ang,"English, Old (ca.450-1100)",
663,bluegown,enm,"English, Middle (1100-1500)",
664,bluey,enm,"English, Middle (1100-1500)",
665,blythe,ang,"English, Old (ca.450-1100)",
670,boeotia,grc,"Greek, Ancient (to 1453)",
672,bogotan,spa,Spanish; Castilian,Latin
673,bohemian,fra,French,Latin
675,boi,por,Portuguese,Latin
679,bollywood,por,Portuguese,Latin
680,bollywoodian,por,Portuguese,Latin
681,bolshevik,rus,Russian,Other
682,bolshevist,rus,Russian,Other
684,bolzano,ita,Italian,Latin
685,bombay,por,Portuguese,Latin
687,bondian,enm,"English, Middle (1100-1500)",
688,bondiana,enm,"English, Middle (1100-1500)",
689,bondlike,enm,"English, Middle (1100-1500)",
691,boniface,lat,Latin,Latin
694,borborite,grc,"Greek, Ancient (to 1453)",
695,bordeaux,fra,French,Latin
697,boreas,grc,"Greek, Ancient (to 1453)",
700,bornholm,dan,Danish,Germanic
702,bosniak,hbs,,
710,boteler,enm,"English, Middle (1100-1500)",
712,botocudo,por,Portuguese,Latin
714,boulanger,fra,French,Latin
722,boyne,gle,Irish,Other
723,bozal,spa,Spanish; Castilian,Latin
724,boötes,lat,Latin,Latin
725,brachman,lat,Latin,Latin
727,brahma,san,Sanskrit,Other
728,brahman,san,Sanskrit,Other
729,brahmana,san,Sanskrit,Other
730,brahmanist,san,Sanskrit,Other
731,brahmaputra,san,Sanskrit,Other
733,brainfuck,enm,"English, Middle (1100-1500)",
736,brayon,fra,French,Latin
739,brazos,spa,Spanish; Castilian,Latin
742,brennschluss,deu,German,Germanic
743,brescia,ita,Italian,Latin
744,breslau,deu,German,Germanic
746,breton,fra,French,Latin
749,brian,gle,Irish,Other
750,briarean,lat,Latin,Latin
751,brigid,gle,Irish,Other
752,brindisi,ita,Italian,Latin
754,britain,enm,"English, Middle (1100-1500)",
762,briton,fro,"French, Old (842-ca.1400)",
763,britoness,fro,"French, Old (842-ca.1400)",
764,britpop,lat,Latin,Latin
765,britrock,dum,"Dutch, Middle (ca.1050-1350)",
766,brittany,lat,Latin,Latin
768,brontean,grc,"Greek, Ancient (to 1453)",
769,brontë,grc,"Greek, Ancient (to 1453)",
772,browncoat,enm,"English, Middle (1100-1500)",
774,browning,ang,"English, Old (ca.450-1100)",
775,brownism,enm,"English, Middle (1100-1500)",
776,brownist,enm,"English, Middle (1100-1500)",
778,bruckner,deu,German,Germanic
784,buffyverse,frm,"French, Middle (ca.1400-1600)",
786,bulgar,lat,Latin,Latin
787,bulgaria,lat,Latin,Latin
788,bulgarian,lat,Latin,Latin
792,burgess,enm,"English, Middle (1100-1500)",
793,burgessian,xno,Anglo-Norman,Germanic
795,burhan,ara,Arabic,Arabic
797,burma,mya,,
800,burnside,enm,"English, Middle (1100-1500)",
803,busan,kor,Korean,Other
804,bushian,enm,"English, Middle (1100-1500)",
805,bushism,enm,"English, Middle (1100-1500)",
806,bushonomics,enm,"English, Middle (1100-1500)",
807,butlerian,fro,"French, Old (842-ca.1400)",
808,byblos,lat,Latin,Latin
815,casevac,lat,Latin,Latin
819,caaba,ara,Arabic,Arabic
820,cabeiri,grc,"Greek, Ancient (to 1453)",
822,caesarea,lat,Latin,Latin
825,cagliari,ita,Italian,Latin
826,cain,heb,Hebrew,Germanic
829,caleb,heb,Hebrew,Germanic
833,callahan,gle,Irish,Other
834,callinus,grc,"Greek, Ancient (to 1453)",
835,calvary,lat,Latin,Latin
839,calydon,grc,"Greek, Ancient (to 1453)",
840,caló,rmq,,
841,camargue,fra,French,Latin
843,cambyses,grc,"Greek, Ancient (to 1453)",
847,camilla,lat,Latin,Latin
848,camille,fra,French,Latin
851,campobasso,ita,Italian,Latin
859,canadien,fra,French,Latin
861,canary islands,spa,Spanish; Castilian,Latin
863,cancer,lat,Latin,Latin
864,cancerian,lat,Latin,Latin
865,candace,grc,"Greek, Ancient (to 1453)",
866,candlemas,ang,"English, Old (ca.450-1100)",
867,canicula,lat,Latin,Latin
868,canopus,lat,Latin,Latin
869,cantal,fra,French,Latin
870,canterbury,ang,"English, Old (ca.450-1100)",
871,cantonese,fro,"French, Old (842-ca.1400)",
872,cantorian,lat,Latin,Latin
873,canute,non,"Norse, Old",
874,canutish,non,"Norse, Old",
875,cape verde,por,Portuguese,Latin
876,capella,lat,Latin,Latin
877,cappadocia,grc,"Greek, Ancient (to 1453)",
878,capricorn,lat,Latin,Latin
879,capsian,fra,French,Latin
882,carborundum,lat,Latin,Latin
883,caria,grc,"Greek, Ancient (to 1453)",
884,carian,grc,"Greek, Ancient (to 1453)",
887,carmel,heb,Hebrew,Germanic
888,carmelite,heb,Hebrew,Germanic
889,carmen,spa,Spanish; Castilian,Latin
892,cartagena,spa,Spanish; Castilian,Latin
895,carthage,lat,Latin,Latin
896,carthusian,fra,French,Latin
897,cassandra,grc,"Greek, Ancient (to 1453)",
898,cassandraic,grc,"Greek, Ancient (to 1453)",
899,cassian,lat,Latin,Latin
900,cassiopeia,lat,Latin,Latin
901,cassius,lat,Latin,Latin
902,castalian,lat,Latin,Latin
906,catalan,enm,"English, Middle (1100-1500)",
907,catalanness,enm,"English, Middle (1100-1500)",
908,catalanophile,lat,Latin,Latin
910,catalanophone,grc,"Greek, Ancient (to 1453)",
912,catanzaro,ita,Italian,Latin
914,catherine,fra,French,Latin
915,catherinian,fra,French,Latin
916,catholic,lat,Latin,Latin
917,catholicise,grc,"Greek, Ancient (to 1453)",
918,catholicize,grc,"Greek, Ancient (to 1453)",
919,catilinarian,lat,Latin,Latin
921,catonian,lat,Latin,Latin
923,caturday,ang,"English, Old (ca.450-1100)",
924,caucasian albania,lat,Latin,Latin
927,cecil,lat,Latin,Latin
928,cecilia,lat,Latin,Latin
929,celia,lat,Latin,Latin
930,celine,fra,French,Latin
931,celt,grc,"Greek, Ancient (to 1453)",
935,centaurus,lat,Latin,Latin
937,cephas,lat,Latin,Latin
938,cepheus,grc,"Greek, Ancient (to 1453)",
939,cerberus,grc,"Greek, Ancient (to 1453)",
940,cererian,lat,Latin,Latin
941,ceres,lat,Latin,Latin
943,cetus,lat,Latin,Latin
944,ceylon,grc,"Greek, Ancient (to 1453)",
945,ceylonese,grc,"Greek, Ancient (to 1453)",
946,chad,ang,"English, Old (ca.450-1100)",
947,chadic,ang,"English, Old (ca.450-1100)",
949,chaeronea,grc,"Greek, Ancient (to 1453)",
951,chaitra,san,Sanskrit,Other
952,chakravakam,san,Sanskrit,Other
953,chalan beel,ben,Bengali,Other
954,chalcedon,grc,"Greek, Ancient (to 1453)",
955,chalcedonian,grc,"Greek, Ancient (to 1453)",
956,chalcis,grc,"Greek, Ancient (to 1453)",
957,chaldaic,lat,Latin,Latin
958,chaldea,grc,"Greek, Ancient (to 1453)",
959,chaldean,grc,"Greek, Ancient (to 1453)",
960,chandlerish,fro,"French, Old (842-ca.1400)",
961,chandlerism,fro,"French, Old (842-ca.1400)",
963,chaozhou,cmn,Mandarin Chinese,Other
964,chaparian,hye,Armenian,Other
968,charlemagne,fra,French,Latin
971,charlotte,fra,French,Latin
972,charon,grc,"Greek, Ancient (to 1453)",
975,chaturdashi,san,Sanskrit,Other
976,chaturthi,san,Sanskrit,Other
977,chaucer,fro,"French, Old (842-ca.1400)",
978,chaucerian,fro,"French, Old (842-ca.1400)",
979,chavacano,spa,Spanish; Castilian,Latin
980,chazal,heb,Hebrew,Germanic
981,cheapside,enm,"English, Middle (1100-1500)",
984,cheesefare,enm,"English, Middle (1100-1500)",
986,chelm,pol,Polish,Other
987,chelsea,ang,"English, Old (ca.450-1100)",
988,cherkasy,ukr,Ukrainian,Other
989,chernihiv,ukr,Ukrainian,Other
990,chernivtsi,ukr,Ukrainian,Other
991,chernobyl,rus,Russian,Other
992,chester,lat,Latin,Latin
993,chian,lat,Latin,Latin
994,chiayi,cmn,Mandarin Chinese,Other
996,chicana,spa,Spanish; Castilian,Latin
997,chicano,spa,Spanish; Castilian,Latin
999,chile,que,Quechua,Other
1000,chimaera,grc,"Greek, Ancient (to 1453)",
1001,chimera,grc,"Greek, Ancient (to 1453)",
1002,china,fas,Persian,Other
1003,chinatown,fas,Persian,Other
1004,chinatowner,fas,Persian,Other
1005,chindia,fas,Persian,Other
1006,chinese,fas,Persian,Other
1007,chineselike,fas,Persian,Other
1008,chinesely,fas,Persian,Other
1009,chineseness,fas,Persian,Other
1010,chinesey,fas,Persian,Other
1011,chinglish,fas,Persian,Other
1012,chios,grc,"Greek, Ancient (to 1453)",
1014,chloe,grc,"Greek, Ancient (to 1453)",
1015,cholmondeley,ang,"English, Old (ca.450-1100)",
1016,cholon,vie,Vietnamese,Other
1017,chorasmia,lat,Latin,Latin
1018,chorasmian,lat,Latin,Latin
