letter_li,number_li
"['a', 'f', 'r', 'o', 'f', 'u', 't', 'u', 'r', 'i', 's', 'm']","[2, 7, 19, 16, 7, 22, 21, 22, 19, 10, 20, 14]"
"['a', 'f', 'y', 'o', 'n', 'k', 'a', 'r', 'a', 'h', 'i', 's', 'a', 'r']","[2, 7, 26, 16, 15, 12, 2, 19, 2, 9, 10, 20, 2, 19]"
"['a', 'g', 'a', 's', 't', 'y', 'a']","[2, 8, 2, 20, 21, 26, 2]"
"['a', 'g', 'h', 'a', 'y', 'a', 'n']","[2, 8, 9, 2, 26, 2, 15]"
"['a', 'g', 'n', 'i']","[2, 8, 15, 10]"
"['a', 'g', 'n', 'u', 's', ' ', 'd', 'e', 'i']","[2, 8, 15, 22, 20, 0, 5, 6, 10]"
"['a', 'g', 'r', 'i', 'p', 'p', 'a']","[2, 8, 19, 10, 17, 17, 2]"
"['a', 'h', 'a', 's', 'u', 'e', 'r', 'u', 's']","[2, 9, 2, 20, 22, 6, 19, 22, 20]"
"['a', 'h', 'a', 'z']","[2, 9, 2, 27]"
"['a', 'h', 'm', 'a', 'd']","[2, 9, 14, 2, 5]"
"['a', 'h', 'm', 'e', 'd']","[2, 9, 14, 6, 5]"
"['a', 'h', 'm', 'e', 'd', 'a', 'b', 'a', 'd']","[2, 9, 14, 6, 5, 2, 3, 2, 5]"
"['a', 'h', 'r', 'i', 'm', 'a', 'n']","[2, 9, 19, 10, 14, 2, 15]"
"['a', 'h', 'r', 'i', 'm', 'a', 'n', 'i', 'c']","[2, 9, 19, 10, 14, 2, 15, 10, 4]"
"['a', 'h', 'u', 'n', 'a', ' ', 'v', 'a', 'i', 'r', 'y', 'a']","[2, 9, 22, 15, 2, 0, 23, 2, 10, 19, 26, 2]"
"['a', 'h', 'u', 'r', 'a', ' ', 'm', 'a', 'z', 'd', 'a']","[2, 9, 22, 19, 2, 0, 14, 2, 27, 5, 2]"
"['a', 'i', 'd', 'a']","[2, 10, 5, 2]"
"['a', 'i', 'd', 'e', 'n', 'n']","[2, 10, 5, 6, 15, 15]"
"['a', 'j', 'a', 'x']","[2, 11, 2, 25]"
