letter_li,number_li
"['a', 'd', 'v', 'e', 'n', 'e']","[2, 5, 23, 6, 15, 6]"
"['a', 'd', 'v', 'e', 'n', 't']","[2, 5, 23, 6, 15, 21]"
"['a', 'd', 'v', 'e', 'n', 't', 'i', 't', 'i', 'o', 'u', 's']","[2, 5, 23, 6, 15, 21, 10, 21, 10, 16, 22, 20]"
"['a', 'd', 'v', 'e', 'r', 'b']","[2, 5, 23, 6, 19, 3]"
"['a', 'd', 'v', 'e', 'r', 'b', 'a', 't', 'i', 'v', 'e']","[2, 5, 23, 6, 19, 3, 2, 21, 10, 23, 6]"
"['a', 'd', 'v', 'e', 'r', 'b', 'i', 'a', 'l']","[2, 5, 23, 6, 19, 3, 10, 2, 13]"
"['a', 'd', 'v', 'e', 'r', 'b', 'i', 'a', 'l', 'i', 't', 'y']","[2, 5, 23, 6, 19, 3, 10, 2, 13, 10, 21, 26]"
"['a', 'd', 'v', 'e', 'r', 'b', 'i', 'a', 'l', 'l', 'y']","[2, 5, 23, 6, 19, 3, 10, 2, 13, 13, 26]"
"['a', 'd', 'v', 'e', 'r', 'b', 'i', 'a', 'l', 'n', 'e', 's', 's']","[2, 5, 23, 6, 19, 3, 10, 2, 13, 15, 6, 20, 20]"
"['a', 'd', 'v', 'e', 'r', 'b', 'l', 'e', 's', 's']","[2, 5, 23, 6, 19, 3, 13, 6, 20, 20]"
"['a', 'd', 'v', 'e', 'r', 's', 'a', 'r', 'i', 'a']","[2, 5, 23, 6, 19, 20, 2, 19, 10, 2]"
"['a', 'd', 'v', 'e', 'r', 's', 'a', 'r', 'y']","[2, 5, 23, 6, 19, 20, 2, 19, 26]"
"['a', 'd', 'v', 'e', 'r', 's', 'a', 't', 'i', 'v', 'e']","[2, 5, 23, 6, 19, 20, 2, 21, 10, 23, 6]"
"['a', 'd', 'v', 'o', 'k', 'e']","[2, 5, 23, 16, 12, 6]"
"['a', 'd', 'v', 'o', 'l', 'u', 't', 'i', 'o', 'n']","[2, 5, 23, 16, 13, 22, 21, 10, 16, 15]"
"['a', 'd', 'w', 'a', 'r', 'e']","[2, 5, 24, 2, 19, 6]"
"['a', 'd', 'y', 'n', 'a', 'm', 'i', 'c']","[2, 5, 26, 15, 2, 14, 10, 4]"
"['a', 'd', 'y', 't']","[2, 5, 26, 21]"
"['a', 'd', 'z', 'u', 'k', 'i']","[2, 5, 27, 22, 12, 10]"
"['a', 'e', 'c', 'i', 'd', 'i', 'u', 'm']","[2, 6, 4, 10, 5, 10, 22, 14]"
"['a', 'e', 'd', 'i', 'c', 'u', 'l', 'a']","[2, 6, 5, 10, 4, 22, 13, 2]"
"['a', 'e', 'd', 'i', 'c', 'u', 'l', 'e']","[2, 6, 5, 10, 4, 22, 13, 6]"
"['a', 'e', 'd', 'i', 'l', 'e']","[2, 6, 5, 10, 13, 6]"
"['a', 'e', 'd', 'i', 'l', 'e', 's', 'h', 'i', 'p']","[2, 6, 5, 10, 13, 6, 20, 9, 10, 17]"
"['a', 'e', 'g', 'i', 'l', 'o', 'p', 's']","[2, 6, 8, 10, 13, 16, 17, 20]"
"['a', 'e', 'g', 'i', 's']","[2, 6, 8, 10, 20]"
"['a', 'e', 'o', 'l', 'i', 'p', 'i', 'l', 'e']","[2, 6, 16, 13, 10, 17, 10, 13, 6]"
"['a', 'e', 'q', 'u', 'a', 'l', 'i', 's']","[2, 6, 18, 22, 2, 13, 10, 20]"
"['a', 'e', 'r', 'i', 'a', 'l']","[2, 6, 19, 10, 2, 13]"
"['a', 'e', 'r', 'i', 'a', 'l', 'l', 'y']","[2, 6, 19, 10, 2, 13, 13, 26]"
"['a', 'e', 'r', 'i', 'f', 'o', 'r', 'm']","[2, 6, 19, 10, 7, 16, 19, 14]"
"['a', 'e', 'r', 'o', 'b', 'a', 't', 'i', 'c']","[2, 6, 19, 16, 3, 2, 21, 10, 4]"
"['a', 'e', 'r', 'o', 'b', 'a', 't', 'i', 'c', 's']","[2, 6, 19, 16, 3, 2, 21, 10, 4, 20]"
"['a', 'e', 'r', 'o', 'b', 'i', 'c']","[2, 6, 19, 16, 3, 10, 4]"
"['a', 'e', 'r', 'o', 'b', 'i', 'c', 'a', 'l', 'l', 'y']","[2, 6, 19, 16, 3, 10, 4, 2, 13, 13, 26]"
"['a', 'e', 'r', 'o', 'b', 'i', 'c', 'i', 'z', 'e']","[2, 6, 19, 16, 3, 10, 4, 10, 27, 6]"
"['a', 'e', 'r', 'o', 'c', 'h', 'e', 'm', 'i', 'c', 'a', 'l']","[2, 6, 19, 16, 4, 9, 6, 14, 10, 4, 2, 13]"
"['a', 'e', 'r', 'o', 'c', 'y', 's', 't']","[2, 6, 19, 16, 4, 26, 20, 21]"
"['a', 'e', 'r', 'o', 'd', 'u', 'c', 't']","[2, 6, 19, 16, 5, 22, 4, 21]"
"['a', 'e', 'r', 'o', 'd', 'y', 'n', 'a', 'm', 'i', 'c']","[2, 6, 19, 16, 5, 26, 15, 2, 14, 10, 4]"
"['a', 'e', 'r', 'o', 'd', 'y', 'n', 'a', 'm', 'i', 'c', 'a', 'l', 'l', 'y']","[2, 6, 19, 16, 5, 26, 15, 2, 14, 10, 4, 2, 13, 13, 26]"
"['a', 'e', 'r', 'o', 'd', 'y', 'n', 'a', 'm', 'i', 'c', 's']","[2, 6, 19, 16, 5, 26, 15, 2, 14, 10, 4, 20]"
"['a', 'e', 'r', 'o', 'm', 'e', 't', 'r', 'i', 'c']","[2, 6, 19, 16, 14, 6, 21, 19, 10, 4]"
"['a', 'e', 'r', 'o', 'n', 'a', 'u', 't', 'i', 'c', 's']","[2, 6, 19, 16, 15, 2, 22, 21, 10, 4, 20]"
"['a', 'e', 'r', 'o', 'p', 'h', 'i', 'l', 'e']","[2, 6, 19, 16, 17, 9, 10, 13, 6]"
"['a', 'e', 'r', 'o', 'p', 'l', 'a', 'n', 'e']","[2, 6, 19, 16, 17, 13, 2, 15, 6]"
"['a', 'e', 'r', 'o', 'p', 'l', 'a', 'n', 'k', 't', 'o', 'n']","[2, 6, 19, 16, 17, 13, 2, 15, 12, 21, 16, 15]"
"['a', 'e', 'r', 'o', 'p', 'u', 'l', 's', 'e']","[2, 6, 19, 16, 17, 22, 13, 20, 6]"
"['a', 'e', 'r', 'o', 's', 'e']","[2, 6, 19, 16, 20, 6]"
"['a', 'e', 'r', 'o', 's', 'i', 'n', 'u', 's', 'i', 't', 'i', 's']","[2, 6, 19, 16, 20, 10, 15, 22, 20, 10, 21, 10, 20]"
"['a', 'e', 'r', 'o', 's', 't', 'a', 't', 'i', 'c']","[2, 6, 19, 16, 20, 21, 2, 21, 10, 4]"
"['a', 'e', 'r', 'u', 'g', 'o']","[2, 6, 19, 22, 8, 16]"
"['a', 'e', 's', 't', 'i', 'v', 'a', 'l']","[2, 6, 20, 21, 10, 23, 2, 13]"
"['a', 'e', 't', 'i', 'o', 'l', 'o', 'g', 'y']","[2, 6, 21, 10, 16, 13, 16, 8, 26]"
"['a', 'e', 'v', 'u', 'm']","[2, 6, 23, 22, 14]"
"['a', 'f', 'f', 'a', 'b', 'i', 'l', 'i', 't', 'y']","[2, 7, 7, 2, 3, 10, 13, 10, 21, 26]"
"['a', 'f', 'f', 'a', 'b', 'l', 'e']","[2, 7, 7, 2, 3, 13, 6]"
"['a', 'f', 'f', 'a', 'b', 'l', 'y']","[2, 7, 7, 2, 3, 13, 26]"
"['a', 'f', 'f', 'a', 'm', 'i', 's', 'h']","[2, 7, 7, 2, 14, 10, 20, 9]"
"['a', 'f', 'f', 'e', 'c', 't', 'i', 'o', 'n']","[2, 7, 7, 6, 4, 21, 10, 16, 15]"
"['a', 'f', 'f', 'e', 'c', 't', 'i', 'o', 'n', 'e', 'd']","[2, 7, 7, 6, 4, 21, 10, 16, 15, 6, 5]"
"['a', 'f', 'f', 'e', 'c', 't', 'i', 'v', 'e']","[2, 7, 7, 6, 4, 21, 10, 23, 6]"
"['a', 'f', 'f', 'e', 'r', 'e', 'n', 't']","[2, 7, 7, 6, 19, 6, 15, 21]"
"['a', 'f', 'f', 'e', 'r', 'e', 'n', 't', 'l', 'y']","[2, 7, 7, 6, 19, 6, 15, 21, 13, 26]"
"['a', 'f', 'f', 'i', 'd', 'a', 'v', 'i', 't']","[2, 7, 7, 10, 5, 2, 23, 10, 21]"
"['a', 'f', 'f', 'i', 'l', 'i', 'a', 't', 'i', 'o', 'n']","[2, 7, 7, 10, 13, 10, 2, 21, 10, 16, 15]"
"['a', 'f', 'f', 'i', 'r', 'm', 'a', 'n', 't']","[2, 7, 7, 10, 19, 14, 2, 15, 21]"
"['a', 'f', 'f', 'i', 'r', 'm', 'a', 't', 'i', 'o']","[2, 7, 7, 10, 19, 14, 2, 21, 10, 16]"
"['a', 'f', 'f', 'l', 'a', 't', 'i', 'o', 'n']","[2, 7, 7, 13, 2, 21, 10, 16, 15]"
"['a', 'f', 'f', 'l', 'a', 't', 'u', 's']","[2, 7, 7, 13, 2, 21, 22, 20]"
"['a', 'f', 'f', 'l', 'u', 'e', 'n', 't']","[2, 7, 7, 13, 22, 6, 15, 21]"
"['a', 'f', 'f', 'l', 'u', 'e', 'n', 't', 'l', 'y']","[2, 7, 7, 13, 22, 6, 15, 21, 13, 26]"
"['a', 'f', 'f', 'r', 'a', 'p']","[2, 7, 7, 19, 2, 17]"
"['a', 'f', 'f', 'r', 'o', 'n', 't', 'é']","[2, 7, 7, 19, 16, 15, 21, 36]"
"['a', 'f', 'f', 'u', 's', 'i', 'o', 'n']","[2, 7, 7, 22, 20, 10, 16, 15]"
"['a', 'f', 'i', 'k', 'o', 'm', 'e', 'n']","[2, 7, 10, 12, 16, 14, 6, 15]"
"['a', 'f', 'l', 'a', 'g', 'e', 'l', 'l', 'a', 't', 'e']","[2, 7, 13, 2, 8, 6, 13, 13, 2, 21, 6]"
"['a', 'f', 'o', 'x', 'e']","[2, 7, 16, 25, 6]"
"['a', 'f', 't', 'e', 'r', 'f', 'e', 's', 't']","[2, 7, 21, 6, 19, 7, 6, 20, 21]"
"['a', 'f', 't', 'e', 'r', 'p', 'o', 't', 'e', 'n', 't', 'i', 'a', 'l']","[2, 7, 21, 6, 19, 17, 16, 21, 6, 15, 21, 10, 2, 13]"
"['a', 'g']","[2, 8]"
"['a', 'g', 'a', 'r', 'i', 'c']","[2, 8, 2, 19, 10, 4]"
"['a', 'g', 'b', 'a', 'd', 'a']","[2, 8, 3, 2, 5, 2]"
"['a', 'g', 'e', 'n', 'c', 'y']","[2, 8, 6, 15, 4, 26]"
"['a', 'g', 'e', 'n', 'c', 'y', 'l', 'i', 'k', 'e']","[2, 8, 6, 15, 4, 26, 13, 10, 12, 6]"
"['a', 'g', 'e', 'n', 'd', 'a']","[2, 8, 6, 15, 5, 2]"
"['a', 'g', 'e', 'n', 'd', 'a', 'l', 'e', 's', 's']","[2, 8, 6, 15, 5, 2, 13, 6, 20, 20]"
"['a', 'g', 'e', 'n', 'd', 'u', 'm']","[2, 8, 6, 15, 5, 22, 14]"
"['a', 'g', 'e', 'n', 't']","[2, 8, 6, 15, 21]"
"['a', 'g', 'e', 'n', 't', ' ', 'p', 'r', 'o', 'v', 'o', 'c', 'a', 't', 'e', 'u', 'r']","[2, 8, 6, 15, 21, 0, 17, 19, 16, 23, 16, 4, 2, 21, 6, 22, 19]"
"['a', 'g', 'e', 'n', 't', 'e', 'd']","[2, 8, 6, 15, 21, 6, 5]"
"['a', 'g', 'e', 'n', 't', 'h', 'o', 'o', 'd']","[2, 8, 6, 15, 21, 9, 16, 16, 5]"
"['a', 'g', 'e', 'n', 't', 'i', 'a']","[2, 8, 6, 15, 21, 10, 2]"
"['a', 'g', 'e', 'n', 't', 'i', 'n', 'g']","[2, 8, 6, 15, 21, 10, 15, 8]"
"['a', 'g', 'e', 'n', 't', 'l', 'e', 's', 's']","[2, 8, 6, 15, 21, 13, 6, 20, 20]"
"['a', 'g', 'e', 'n', 't', 's', 'h', 'i', 'p']","[2, 8, 6, 15, 21, 20, 9, 10, 17]"
"['a', 'g', 'e', 'n', 't', 's', 'p', 'a', 'c', 'e']","[2, 8, 6, 15, 21, 20, 17, 2, 4, 6]"
"['a', 'g', 'e', 'u', 's', 'i', 'a']","[2, 8, 6, 22, 20, 10, 2]"
"['a', 'g', 'e', 'u', 's', 'i', 'a', 'c']","[2, 8, 6, 22, 20, 10, 2, 4]"
"['a', 'g', 'g', 'e', 'r', 'a', 't', 'i', 'o', 'n']","[2, 8, 8, 6, 19, 2, 21, 10, 16, 15]"
"['a', 'g', 'g', 'e', 's', 't']","[2, 8, 8, 6, 20, 21]"
"['a', 'g', 'g', 'l', 'o', 'm', 'e', 'r', 'a', 't', 'e']","[2, 8, 8, 13, 16, 14, 6, 19, 2, 21, 6]"
"['a', 'g', 'g', 'l', 'u', 't', 'i', 'n', 'a', 't', 'e']","[2, 8, 8, 13, 22, 21, 10, 15, 2, 21, 6]"
"['a', 'g', 'g', 'r', 'a', 'n', 'd', 'i', 'z', 'e', 'm', 'e', 'n', 't']","[2, 8, 8, 19, 2, 15, 5, 10, 27, 6, 14, 6, 15, 21]"
"['a', 'g', 'g', 'r', 'a', 't', 'e']","[2, 8, 8, 19, 2, 21, 6]"
"['a', 'g', 'g', 'r', 'a', 'v', 'a', 't', 'e']","[2, 8, 8, 19, 2, 23, 2, 21, 6]"
"['a', 'g', 'g', 'r', 'e', 'g', 'a', 't', 'e']","[2, 8, 8, 19, 6, 8, 2, 21, 6]"
"['a', 'g', 'g', 'r', 'e', 'g', 'a', 't', 'e', 'l', 'y']","[2, 8, 8, 19, 6, 8, 2, 21, 6, 13, 26]"
"['a', 'g', 'g', 'r', 'e', 's', 's']","[2, 8, 8, 19, 6, 20, 20]"
"['a', 'g', 'g', 'r', 'e', 's', 's', 'i', 'o', 'n']","[2, 8, 8, 19, 6, 20, 20, 10, 16, 15]"
"['a', 'g', 'g', 'r', 'e', 's', 's', 'i', 'v', 'e']","[2, 8, 8, 19, 6, 20, 20, 10, 23, 6]"
"['a', 'g', 'g', 'r', 'e', 's', 's', 'i', 'v', 'e', 'l', 'y']","[2, 8, 8, 19, 6, 20, 20, 10, 23, 6, 13, 26]"
"['a', 'g', 'g', 'r', 'e', 's', 's', 'i', 'v', 'e', 'n', 'e', 's', 's']","[2, 8, 8, 19, 6, 20, 20, 10, 23, 6, 15, 6, 20, 20]"
"['a', 'g', 'g', 'r', 'e', 's', 's', 'i', 'v', 'i', 't', 'y']","[2, 8, 8, 19, 6, 20, 20, 10, 23, 10, 21, 26]"
"['a', 'g', 'i', 'l', 'e']","[2, 8, 10, 13, 6]"
"['a', 'g', 'i', 'l', 'e', 'l', 'y']","[2, 8, 10, 13, 6, 13, 26]"
"['a', 'g', 'i', 'n']","[2, 8, 10, 15]"
"['a', 'g', 'i', 't', 'a', 't', 'e']","[2, 8, 10, 21, 2, 21, 6]"
"['a', 'g', 'i', 't', 'a', 't', 'i', 'o', 'n']","[2, 8, 10, 21, 2, 21, 10, 16, 15]"
"['a', 'g', 'i', 't', 'a', 't', 'i', 'o', 'n', 'a', 'l']","[2, 8, 10, 21, 2, 21, 10, 16, 15, 2, 13]"
"['a', 'g', 'i', 't', 'o']","[2, 8, 10, 21, 16]"
"['a', 'g', 'i', 't', 'p', 'o', 'p']","[2, 8, 10, 21, 17, 16, 17]"
"['a', 'g', 'l', 'e', 'y']","[2, 8, 13, 6, 26]"
"['a', 'g', 'n', 'a', 't', 'e']","[2, 8, 15, 2, 21, 6]"
"['a', 'g', 'n', 'i', 't', 'i', 'o', 'n']","[2, 8, 15, 10, 21, 10, 16, 15]"
"['a', 'g', 'n', 'o', 'm', 'i', 'n', 'a', 't', 'i', 'o', 'n']","[2, 8, 15, 16, 14, 10, 15, 2, 21, 10, 16, 15]"
"['a', 'g', 'o', 'n']","[2, 8, 16, 15]"
"['a', 'g', 'o', 'n', 'i', 's', 'm']","[2, 8, 16, 15, 10, 20, 14]"
"['a', 'g', 'o', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n']","[2, 8, 16, 15, 10, 27, 2, 21, 10, 16, 15]"
"['a', 'g', 'o', 'n', 'i', 'z', 'e']","[2, 8, 16, 15, 10, 27, 6]"
"['a', 'g', 'o', 'r', 'a']","[2, 8, 16, 19, 2]"
"['a', 'g', 'o', 'r', 'a', 'p', 'h', 'o', 'b', 'i', 'a']","[2, 8, 16, 19, 2, 17, 9, 16, 3, 10, 2]"
"['a', 'g', 'o', 'r', 'a', 'p', 'h', 'o', 'b', 'i', 'a', 'c']","[2, 8, 16, 19, 2, 17, 9, 16, 3, 10, 2, 4]"
"['a', 'g', 'r', 'a', 'f', 'f', 'e']","[2, 8, 19, 2, 7, 7, 6]"
"['a', 'g', 'r', 'a', 'r', 'i', 'a', 'n', 'i', 's', 'm']","[2, 8, 19, 2, 19, 10, 2, 15, 10, 20, 14]"
"['a', 'g', 'r', 'e', 's', 't', 'i', 'c']","[2, 8, 19, 6, 20, 21, 10, 4]"
"['a', 'g', 'r', 'i', 'c', 'u', 'l', 't', 'u', 'r', 'e']","[2, 8, 19, 10, 4, 22, 13, 21, 22, 19, 6]"
"['a', 'g', 'r', 'i', 'c', 'u', 'l', 't', 'u', 'r', 'i', 's', 'm']","[2, 8, 19, 10, 4, 22, 13, 21, 22, 19, 10, 20, 14]"
"['a', 'g', 'r', 'i', 't', 'a', 'i', 'n', 'm', 'e', 'n', 't']","[2, 8, 19, 10, 21, 2, 10, 15, 14, 6, 15, 21]"
"['a', 'g', 'r', 'o', 'c', 'h', 'e', 'm', 'i', 'c', 'a', 'l']","[2, 8, 19, 16, 4, 9, 6, 14, 10, 4, 2, 13]"
"['a', 'g', 'r', 'o', 'g', 'o', 'r', 'o', 'd']","[2, 8, 19, 16, 8, 16, 19, 16, 5]"
"['a', 'g', 'r', 'o', 'n', 'o', 'm', 'y']","[2, 8, 19, 16, 15, 16, 14, 26]"
"['a', 'g', 'r', 'o', 'p', 'a', 's', 't', 'o', 'r', 'a', 'l', 'i', 's', 't']","[2, 8, 19, 16, 17, 2, 20, 21, 16, 19, 2, 13, 10, 20, 21]"
"['a', 'h', 'a', 'm', 'k', 'a', 'r', 'a']","[2, 9, 2, 14, 12, 2, 19, 2]"
"['a', 'h', 'i']","[2, 9, 10]"
"['a', 'h', 'i', 'm', 's', 'a']","[2, 9, 10, 14, 20, 2]"
"['a', 'h', 'l', 's', 'p', 'i', 'e', 's', 's']","[2, 9, 13, 20, 17, 10, 6, 20, 20]"
"['a', 'h', 'u']","[2, 9, 22]"
"['a', 'i', 'd', 'e']","[2, 10, 5, 6]"
"['a', 'i', 'g', 'u', 'i', 'l', 'l', 'e']","[2, 10, 8, 22, 10, 13, 13, 6]"
"['a', 'i', 'k', 'i', 'd', 'o']","[2, 10, 12, 10, 5, 16]"
"['a', 'i', 'k', 'i', 'd', 'o', 'k', 'a']","[2, 10, 12, 10, 5, 16, 12, 2]"
"['a', 'i', 'l', 'a', 'n', 't', 'h', 'u', 's']","[2, 10, 13, 2, 15, 21, 9, 22, 20]"
"['a', 'i', 'l', 'e', 't', 't', 'e']","[2, 10, 13, 6, 21, 21, 6]"
"['a', 'i', 'o', 'l', 'i']","[2, 10, 16, 13, 10]"
"['a', 'i', 'r', 'a', 'n']","[2, 10, 19, 2, 15]"
"['a', 'j', 'a', 'p', 's', 'a', 'n', 'd', 'a', 'l']","[2, 11, 2, 17, 20, 2, 15, 5, 2, 13]"
"['a', 'j', 'u', 't', 'a', 'g', 'e']","[2, 11, 22, 21, 2, 8, 6]"
"['a', 'k', 'a', 's', 'a']","[2, 12, 2, 20, 2]"
"['a', 'k', 'h', 'i', 'r', 'a', 'h']","[2, 12, 9, 10, 19, 2, 9]"
"['a', 'k', 'h', 'u', 'n', 'd']","[2, 12, 9, 22, 15, 5]"
"['a', 'k', 'ç', 'e']","[2, 12, 34, 6]"
"['a', 'l', 'a']","[2, 13, 2]"
"['a', 'l', 'a', 'm', 'o', 'd', 'a', 'l', 'i', 't', 'y']","[2, 13, 2, 14, 16, 5, 2, 13, 10, 21, 26]"
"['a', 'l', 'a', 'r', 'y']","[2, 13, 2, 19, 26]"
"['a', 'l', 'a', 's', 't', 'r', 'i', 'm']","[2, 13, 2, 20, 21, 19, 10, 14]"
"['a', 'l', 'b', 'a', 'r', 'i', 'u', 'm']","[2, 13, 3, 2, 19, 10, 22, 14]"
"['a', 'l', 'b', 'a', 't', 'r', 'o', 's', 's']","[2, 13, 3, 2, 21, 19, 16, 20, 20]"
"['a', 'l', 'b', 'e', 'd', 'o']","[2, 13, 3, 6, 5, 16]"
"['a', 'l', 'b', 'e', 'd', 'o', 'm', 'e', 't', 'e', 'r']","[2, 13, 3, 6, 5, 16, 14, 6, 21, 6, 19]"
"['a', 'l', 'b', 'e', 's', 'c', 'e', 'n', 'c', 'e']","[2, 13, 3, 6, 20, 4, 6, 15, 4, 6]"
"['a', 'l', 'b', 'e', 's', 'c', 'e', 'n', 't']","[2, 13, 3, 6, 20, 4, 6, 15, 21]"
"['a', 'l', 'b', 'i', 'c', 'o', 'r', 'e']","[2, 13, 3, 10, 4, 16, 19, 6]"
"['a', 'l', 'b', 'i', 'n', 'e', 's', 's']","[2, 13, 3, 10, 15, 6, 20, 20]"
"['a', 'l', 'b', 'i', 'n', 'o']","[2, 13, 3, 10, 15, 16]"
"['a', 'l', 'b', 'o', 'n', 'd', 'i', 'g', 'a']","[2, 13, 3, 16, 15, 5, 10, 8, 2]"
"['a', 'l', 'b', 'u', 'g', 'o']","[2, 13, 3, 22, 8, 16]"
"['a', 'l', 'b', 'u', 'm']","[2, 13, 3, 22, 14]"
"['a', 'l', 'b', 'u', 'm', 'e', 'n']","[2, 13, 3, 22, 14, 6, 15]"
"['a', 'l', 'b', 'u', 'm', 'e', 'n', 'i', 'z', 'e']","[2, 13, 3, 22, 14, 6, 15, 10, 27, 6]"
"['a', 'l', 'b', 'u', 'm', 'e', 'n', 'o', 'i', 'd']","[2, 13, 3, 22, 14, 6, 15, 16, 10, 5]"
"['a', 'l', 'b', 'u', 'm', 'i', 'n', 'i', 'm', 'e', 't', 'e', 'r']","[2, 13, 3, 22, 14, 10, 15, 10, 14, 6, 21, 6, 19]"
"['a', 'l', 'b', 'u', 'r', 'n', 'u', 'm']","[2, 13, 3, 22, 19, 15, 22, 14]"
"['a', 'l', 'c', 'a', 'i', 'c']","[2, 13, 4, 2, 10, 4]"
"['a', 'l', 'c', 'a', 'i', 'd', 'e']","[2, 13, 4, 2, 10, 5, 6]"
"['a', 'l', 'c', 'a', 'n', 'n', 'a']","[2, 13, 4, 2, 15, 15, 2]"
"['a', 'l', 'c', 'a', 'y', 'd', 'e']","[2, 13, 4, 2, 26, 5, 6]"
"['a', 'l', 'c', 'a', 'z', 'a', 'r']","[2, 13, 4, 2, 27, 2, 19]"
"['a', 'l', 'c', 'o', 'o', 'l']","[2, 13, 4, 16, 16, 13]"
"['a', 'l', 'c', 'o', 'v', 'e']","[2, 13, 4, 16, 23, 6]"
"['a', 'l', 'd', 'e', 'b', 'a', 'r', 'a', 'n', 'i', 'u', 'm']","[2, 13, 5, 6, 3, 2, 19, 2, 15, 10, 22, 14]"
"['a', 'l', 'e', 'a', 't', 'o', 'r', 'i', 'l', 'y']","[2, 13, 6, 2, 21, 16, 19, 10, 13, 26]"
"['a', 'l', 'e', 'a', 't', 'o', 'r', 'y']","[2, 13, 6, 2, 21, 16, 19, 26]"
"['a', 'l', 'e', 'c', 't', 'o', 'r', 'i', 'a']","[2, 13, 6, 4, 21, 16, 19, 10, 2]"
"['a', 'l', 'e', 'g', 'e', 'r']","[2, 13, 6, 8, 6, 19]"
"['a', 'l', 'e', 'm', 'b', 'i', 'c']","[2, 13, 6, 14, 3, 10, 4]"
"['a', 'l', 'e', 'm', 'b', 'i', 'c', 'a', 't', 'e', 'd']","[2, 13, 6, 14, 3, 10, 4, 2, 21, 6, 5]"
"['a', 'l', 'e', 'p', 'h']","[2, 13, 6, 17, 9]"
"['a', 'l', 'e', 'r', 't']","[2, 13, 6, 19, 21]"
"['a', 'l', 'e', 'r', 't', 'l', 'y']","[2, 13, 6, 19, 21, 13, 26]"
"['a', 'l', 'e', 'r', 't', 'n', 'e', 's', 's']","[2, 13, 6, 19, 21, 15, 6, 20, 20]"
"['a', 'l', 'e', 'x', 'i', 'c', 'a', 'l']","[2, 13, 6, 25, 10, 4, 2, 13]"
"['a', 'l', 'e', 'x', 'i', 'p', 'h', 'a', 'r', 'm', 'a', 'c', 'u', 'm']","[2, 13, 6, 25, 10, 17, 9, 2, 19, 14, 2, 4, 22, 14]"
"['a', 'l', 'f', 'a', 'l', 'f', 'a']","[2, 13, 7, 2, 13, 7, 2]"
"['a', 'l', 'f', 'e', 't']","[2, 13, 7, 6, 21]"
"['a', 'l', 'g', 'a', 'r', 'o', 'b', 'a']","[2, 13, 8, 2, 19, 16, 3, 2]"
"['a', 'l', 'g', 'i', 'f', 'i', 'c']","[2, 13, 8, 10, 7, 10, 4]"
"['a', 'l', 'g', 'o', 'l', 'o', 'g', 'y']","[2, 13, 8, 16, 13, 16, 8, 26]"
"['a', 'l', 'g', 'o', 'u', 's']","[2, 13, 8, 16, 22, 20]"
"['a', 'l', 'i', 'a', 's']","[2, 13, 10, 2, 20]"
"['a', 'l', 'i', 'b', 'i']","[2, 13, 10, 3, 10]"
"['a', 'l', 'i', 'c', 'o', 'r', 'n']","[2, 13, 10, 4, 16, 19, 15]"
"['a', 'l', 'i', 'd', 'a', 'd', 'e']","[2, 13, 10, 5, 2, 5, 6]"
"['a', 'l', 'i', 'e', 'n', 'a', 'n', 's']","[2, 13, 10, 6, 15, 2, 15, 20]"
"['a', 'l', 'i', 'e', 'n', 'a', 't', 'e']","[2, 13, 10, 6, 15, 2, 21, 6]"
"['a', 'l', 'i', 'e', 'n', 'i', 's', 'm']","[2, 13, 10, 6, 15, 10, 20, 14]"
"['a', 'l', 'i', 'e', 'n', 'i', 's', 't']","[2, 13, 10, 6, 15, 10, 20, 21]"
"['a', 'l', 'i', 'f']","[2, 13, 10, 7]"
"['a', 'l', 'i', 'g', 'n', 'm', 'e', 'n', 't']","[2, 13, 10, 8, 15, 14, 6, 15, 21]"
"['a', 'l', 'i', 'm', 'e', 'n', 't']","[2, 13, 10, 14, 6, 15, 21]"
"['a', 'l', 'i', 'm', 'e', 'n', 't', 'a', 'r', 'y']","[2, 13, 10, 14, 6, 15, 21, 2, 19, 26]"
"['a', 'l', 'i', 'q', 'u', 'o', 't']","[2, 13, 10, 18, 22, 16, 21]"
"['a', 'l', 'i', 't', 'e', 'r']","[2, 13, 10, 21, 6, 19]"
"['a', 'l', 'i', 'y', 'a', 'h']","[2, 13, 10, 26, 2, 9]"
"['a', 'l', 'i', 'z', 'a', 'r', 'i', 'n']","[2, 13, 10, 27, 2, 19, 10, 15]"
"['a', 'l', 'k', 'a', 'l', 'a', 'm', 'i', 'd', 'e']","[2, 13, 12, 2, 13, 2, 14, 10, 5, 6]"
"['a', 'l', 'k', 'a', 'l', 'e', 's', 'c', 'e', 'n', 't']","[2, 13, 12, 2, 13, 6, 20, 4, 6, 15, 21]"
"['a', 'l', 'k', 'a', 'l', 'i']","[2, 13, 12, 2, 13, 10]"
"['a', 'l', 'k', 'a', 'l', 'i', 'c']","[2, 13, 12, 2, 13, 10, 4]"
"['a', 'l', 'k', 'a', 'l', 'i', 'm', 'e', 't', 'r', 'y']","[2, 13, 12, 2, 13, 10, 14, 6, 21, 19, 26]"
"['a', 'l', 'k', 'a', 'l', 'i', 'p', 'r', 'o', 'o', 'f']","[2, 13, 12, 2, 13, 10, 17, 19, 16, 16, 7]"
