word,origin,full_name,Group,word_len
ara,lat,Latin,Latin,3
arabia,lat,Latin,Latin,6
arabic,lat,Latin,Latin,6
arachne,lat,Latin,Latin,7
arachosia,ell,Modern Greek,Other,9
araki,fas,Persian,Other,5
aral sea,kaz,Kazakh,Other,8
aras,tur,Turkish,Other,4
arau,msa,Malay,Other,4
araucania,spa,Spanish; Castilian,Latin,9
araucanization,spa,Spanish; Castilian,Latin,14
arcadian,lat,Latin,Latin,8
archilochian,lat,Latin,Latin,12
arctic,fra,French,Latin,6
areopagitic,lat,Latin,Latin,11
arezzo,ita,Italian,Latin,6
argive,lat,Latin,Latin,6
argo,lat,Latin,Latin,4
argoan,lat,Latin,Latin,6
argolic,lat,Latin,Latin,7
argonautic,lat,Latin,Latin,10
ariane,fra,French,Latin,6
arianna,ita,Italian,Latin,7
arie,heb,Hebrew,Other,4
aries,lat,Latin,Latin,5
arietian,lat,Latin,Latin,8
arinj,hye,Armenian,Other,5
aristotelean,lat,Latin,Latin,12
armageddon,heb,Hebrew,Other,10
armenophile,lat,Latin,Latin,11
armill,lat,Latin,Latin,6
arminius,lat,Latin,Latin,8
armoric,lat,Latin,Latin,7
armorica,lat,Latin,Latin,8
arnaut,tur,Turkish,Other,6
arretine,lat,Latin,Latin,8
artaxerxes,lat,Latin,Latin,10
artotyrite,lat,Latin,Latin,10
arundhati,san,Sanskrit,Other,9
arunim,san,Sanskrit,Other,6
aryan,san,Sanskrit,Other,5
aryanize,san,Sanskrit,Other,8
asa,heb,Hebrew,Other,3
asclepius,lat,Latin,Latin,9
asha,san,Sanskrit,Other,4
ashkenazim,heb,Hebrew,Other,10
ashtami,san,Sanskrit,Other,7
ashtarak,hye,Armenian,Other,8
ashura,ara,Arabic,Arabic,6
ashvamedha,san,Sanskrit,Other,10
asiarch,lat,Latin,Latin,7
aslan,tur,Turkish,Other,5
assur,akk,Akkadian,Other,5
assyria,lat,Latin,Latin,7
asterix,fra,French,Latin,7
asura,san,Sanskrit,Other,5
atellan,lat,Latin,Latin,7
atharvaveda,san,Sanskrit,Other,11
athena,lat,Latin,Latin,6
atlantic,lat,Latin,Latin,8
augie,lat,Latin,Latin,5
august,lat,Latin,Latin,6
augustine,lat,Latin,Latin,9
augustinism,lat,Latin,Latin,11
augustus,lat,Latin,Latin,8
aukštaitian,lit,Lithuanian,Other,11
aukštaitija,lit,Lithuanian,Other,11
aurelia,lat,Latin,Latin,7
aurelian,lat,Latin,Latin,8
auriga,lat,Latin,Latin,6
auschwitz,deu,German,Germanic,9
auster,lat,Latin,Latin,6
av,heb,Hebrew,Other,2
avellino,lat,Latin,Latin,8
avernus,lat,Latin,Latin,7
axel,dan,Danish,Germanic,4
ayurveda,hin,Hindi,Other,8
azar,fas,Persian,Other,4
aziz,ara,Arabic,Arabic,4
azores,por,Portuguese,Latin,6
aztec,spa,Spanish; Castilian,Latin,5
babel,lat,Latin,Latin,5
babelish,lat,Latin,Latin,8
babouvist,fra,French,Latin,9
babylon,lat,Latin,Latin,7
babylonia,lat,Latin,Latin,9
bacchanalia,lat,Latin,Latin,11
bach,deu,German,Germanic,4
baci,ita,Italian,Latin,4
badajoz,spa,Spanish; Castilian,Latin,7
baha,ara,Arabic,Arabic,4
baikal,rus,Russian,Other,6
baklahorani,ell,Modern Greek,Other,11
baku,rus,Russian,Other,4
balkan,tur,Turkish,Other,6
balthazar,lat,Latin,Latin,9
bandar seri begawan,msa,Malay,Other,19
bangalore,kan,Kannada,Other,9
bantu,xho,Xhosa,Other,5
barak,ara,Arabic,Arabic,5
barbados,por,Portuguese,Latin,8
barbarossa,ita,Italian,Latin,10
barbuda,spa,Spanish; Castilian,Latin,7
baruch,heb,Hebrew,Other,6
basheer,ara,Arabic,Arabic,7
bashir,ara,Arabic,Arabic,6
bashkir,rus,Russian,Other,7
bashkiria,rus,Russian,Other,9
bashkirian,rus,Russian,Other,10
bashkortostan,bak,Bashkir,Other,13
basque,fra,French,Latin,6
basquish,lat,Latin,Latin,8
bastet,egy,Egyptian (Ancient),Other,6
batavia,lat,Latin,Latin,7
bauer,deu,German,Germanic,5
baumkuchen,deu,German,Germanic,10
baumé,fra,French,Latin,5
beatrice,lat,Latin,Latin,8
beelzebub,lat,Latin,Latin,9
beelzebubian,lat,Latin,Latin,12
beirut,ara,Arabic,Arabic,6
belgic,lat,Latin,Latin,6
belgium,lat,Latin,Latin,7
belgorod,rus,Russian,Other,8
benevento,ita,Italian,Latin,9
bengali,hin,Hindi,Other,7
benin,por,Portuguese,Latin,5
beninese,por,Portuguese,Latin,8
bergamasco,ita,Italian,Latin,10
bergamo,ita,Italian,Latin,7
berliner,deu,German,Germanic,8
bernadette,fra,French,Latin,10
besançon,fra,French,Latin,8
betawi,ind,Indonesian,Other,6
beurré,fra,French,Latin,6
bhadrapada,san,Sanskrit,Other,10
bhaga,san,Sanskrit,Other,5
bhagavad gita,san,Sanskrit,Other,13
bharat,san,Sanskrit,Other,6
bhat,san,Sanskrit,Other,4
bhatt,san,Sanskrit,Other,5
bhatta,san,Sanskrit,Other,6
bhubaneswar,ori,Oriya,Other,11
bhumi,san,Sanskrit,Other,5
bichon frisé,fra,French,Latin,12
biella,ita,Italian,Latin,6
bihar,hin,Hindi,Other,5
bihari,hin,Hindi,Other,6
bikini,fra,French,Latin,6
birman,fra,French,Latin,6
bithynia,lat,Latin,Latin,8
blagoveshchensk,rus,Russian,Other,15
bloc québécois,fra,French,Latin,14
bogotan,spa,Spanish; Castilian,Latin,7
bohemian,fra,French,Latin,8
boi,por,Portuguese,Latin,3
bollywood,por,Portuguese,Latin,9
bollywoodian,por,Portuguese,Latin,12
bolshevik,rus,Russian,Other,9
bolshevist,rus,Russian,Other,10
bolzano,ita,Italian,Latin,7
bombay,por,Portuguese,Latin,6
boniface,lat,Latin,Latin,8
bordeaux,fra,French,Latin,8
bornholm,dan,Danish,Germanic,8
botocudo,por,Portuguese,Latin,8
boulanger,fra,French,Latin,9
boyne,gle,Irish,Other,5
bozal,spa,Spanish; Castilian,Latin,5
boötes,lat,Latin,Latin,6
brachman,lat,Latin,Latin,8
brahma,san,Sanskrit,Other,6
brahman,san,Sanskrit,Other,7
brahmana,san,Sanskrit,Other,8
brahmanist,san,Sanskrit,Other,10
brahmaputra,san,Sanskrit,Other,11
